Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,x,y
Heleva Landfill,50.23,PAD980537716,301249,3,Pennsylvania,North Whitehall Township,Lehigh,NPL Site,40.670831,-75.5625,12/30/1982,9/8/1983,3/23/1999,596,,,"<a href=""https://semspub.epa.gov/src/document/03/900299"" target=""_blank"">PAD980537716 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301249"" target=""_blank"">Heleva Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8411579.023,4963909.882
Hranica Landfill,51.94,PAD980508618,301218,3,Pennsylvania,Buffalo Township,Butler,Deleted NPL Site,40.677219,-79.749439,12/30/1982,9/8/1983,5/26/1994,237,6/19/1997,9/18/1997,"<a href=""https://semspub.epa.gov/src/document/03/900300"" target=""_blank"">PAD980508618 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301218"" target=""_blank"">Hranica Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-06-19/pdf/97-15854.pdf"" target=""_blank"">06/19/1997 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-18/pdf/97-24547.pdf"" target=""_blank"">09/18/1997 (PDF)</a>",,No,-8877666.941,4964847.489
Kimberton,29.44,PAD980691703,301432,3,Pennsylvania,Kimberton Borough,Chester,NPL Site,40.12695,-75.575,12/30/1982,9/8/1983,9/22/1993,189,,,"<a href=""https://semspub.epa.gov/src/document/03/900301"" target=""_blank"">PAD980691703 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301432"" target=""_blank"">Kimberton</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8412970.517,4884407.493
Lackawanna Refuse,36.57,PAD980508667,301220,3,Pennsylvania,Old Forge Borough,Lackawanna,Deleted NPL Site,41.37305,-75.755281,12/30/1982,9/8/1983,3/28/1994,232,8/19/1999,9/28/1999,"<a href=""https://semspub.epa.gov/src/document/03/900302"" target=""_blank"">PAD980508667 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301220"" target=""_blank"">Lackawanna Refuse</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-08-19/pdf/99-21317.pdf"" target=""_blank"">08/19/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-09-28/pdf/99-25134.pdf"" target=""_blank"">09/28/1999 (PDF)</a>",,No,-8433039.306,5067523.152
Lehigh Electric & Engineering Co.,30.26,PAD980712731,301543,3,Pennsylvania,Old Forge Borough,Lackawanna,Deleted NPL Site,41.357531,-75.740689,12/30/1982,9/8/1983,3/7/1986,13,12/31/1985,3/7/1986,"<a href=""https://semspub.epa.gov/src/document/03/900303"" target=""_blank"">PAD980712731 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301543"" target=""_blank"">Lehigh Electric & Engineering Co.</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/02/363201"" target=""_blank"">12/31/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189621"" target=""_blank"">03/07/1986 (PDF)</a>",,No,-8431414.932,5065221.299
Lindane Dump,51.62,PAD980712798,301544,3,Pennsylvania,Harrison Township,Allegheny,NPL Site,40.6257,-79.7155,12/30/1982,9/8/1983,9/27/1999,651,,,"<a href=""https://semspub.epa.gov/src/document/03/900304"" target=""_blank"">PAD980712798 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301544"" target=""_blank"">Lindane Dump</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8873888.868,4957288.281
Lord-Shope Landfill,38.89,PAD980508931,301231,3,Pennsylvania,Girard Township,Erie,NPL Site,41.977781,-80.3525,12/30/1982,9/8/1983,9/30/1996,395,,,"<a href=""https://semspub.epa.gov/src/document/03/900305"" target=""_blank"">PAD980508931 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301231"" target=""_blank"">Lord-Shope Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8944799.384,5157651.726
Malvern TCE,46.69,PAD014353445,300868,3,Pennsylvania,Malvern,Chester,NPL Site,40.061669,-75.56805,12/30/1982,9/8/1983,7/23/2010,1085,,,"<a href=""https://semspub.epa.gov/src/document/03/900306"" target=""_blank"">PAD014353445 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300868"" target=""_blank"">Malvern TCE</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8412196.846,4874907.901
McAdoo Associates,0,PAD980712616,301540,3,Pennsylvania,McAdoo Borough,Schuylkill,Deleted NPL Site,40.878331,-76.001389,12/30/1982,9/8/1983,9/26/1995,325,10/3/2001,12/13/2001,"<a href=""https://semspub.epa.gov/src/document/03/900307"" target=""_blank"">PAD980712616 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0301540"" target=""_blank"">McAdoo Associates</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-10-03/pdf/01-24486.pdf"" target=""_blank"">10/03/2001 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2001-12-13/pdf/01-30819.pdf"" target=""_blank"">12/13/2001 (PDF)</a>",,No,-8460435.923,4994412.044
Metal Banks,33.23,PAD046557096,300951,3,Pennsylvania,Philadelphia,Philadelphia,NPL Site,40.024169,-75.027781,12/30/1982,9/8/1983,3/23/2010,1083,,,"<a href=""https://semspub.epa.gov/src/document/03/900308"" target=""_blank"">PAD046557096 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300951"" target=""_blank"">Metal Banks</a>","<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>",,,,No,-8352054.376,4869455.075
